0,9
0,12
3,9
3,12
3,15
6,12
6,15
9,0
9,3
9,18
9,21
12,0
12,3
12,6
12,18
12,21
12,24
15,3
15,6
15,21
15,24
18,9
18,12
21,9
21,12
21,15
24,12
24,15
1,10
1,13
4,10
4,13
4,16
7,13
7,16
10,1
10,4
10,19
10,22
13,1
13,4
13,7
13,19
13,22
13,25
16,4
16,7
16,22
16,25
19,10
19,13
22,10
22,13
22,16
25,13
25,16
2,11
2,14
5,11
5,14
5,17
8,14
8,17
11,2
11,5
11,20
11,23
14,2
14,5
14,8
14,20
14,23
14,26
17,5
17,8
17,23
17,26
20,11
20,14
23,11
23,14
23,17
26,14
26,17
0,9
0,10
1,9
1,10
1,11
2,10
2,11
9,0
9,1
9,18
9,19
10,0
10,1
10,2
10,18
10,19
10,20
11,1
11,2
11,19
11,20
18,9
18,10
19,9
19,10
19,11
20,10
20,11
3,12
3,13
4,12
4,13
4,14
5,13
5,14
12,3
12,4
12,21
12,22
13,3
13,4
13,5
13,21
13,22
13,23
14,4
14,5
14,22
14,23
21,12
21,13
22,12
22,13
22,14
23,13
23,14
6,15
6,16
7,15
7,16
7,17
8,16
8,17
15,6
15,7
15,24
15,25
16,6
16,7
16,8
16,24
16,25
16,26
17,7
17,8
17,25
17,26
24,15
24,16
25,15
25,16
25,17
26,16
26,17
